run_id,full_accuracy,auc_coverage,coverage_at_95,coverage_at_98,coverage_at_99,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
effnetv2_s_hard_d4_s224_full_bce_nfull_seed2,0.9480212516733602,0.9953109371681623,0.995105421686747,0.9032797858099063,0.8498786813922357,effnetv2_s,gz2,hard,d4,224,full,bce,0,2,False,True
effnetv2_s_hard_d4_s224_full_bce_nfull_seed3,0.9445490294511378,0.9949672747928165,0.9880563922356091,0.8976321954484605,0.847033969210174,effnetv2_s,gz2,hard,d4,224,full,bce,0,3,False,True
effnetv2_s_hard_d4_s224_full_bce_nfull_seed4,0.9491926037483266,0.9954273687971962,0.998389390896921,0.9061244979919679,0.8500251004016064,effnetv2_s,gz2,hard,d4,224,full,bce,0,4,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed0,0.9546728580990629,0.9963508428306502,1.0,0.927104250334672,0.8789742302543507,effnetv2_s,gz2,soft,d4,224,full,bce,0,0,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed1,0.9542126840696118,0.996342361502007,1.0,0.9272715863453815,0.8769871151271754,effnetv2_s,gz2,soft,d4,224,full,bce,0,1,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed2,0.952120983935743,0.9960208519297493,1.0,0.9185282797858099,0.8689340696117804,effnetv2_s,gz2,soft,d4,224,full,bce,0,2,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed3,0.9548820281124498,0.9964249283650225,1.0,0.9304300535475234,0.8796226572958501,effnetv2_s,gz2,soft,d4,224,full,bce,0,3,False,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed4,0.9524765729585006,0.9960881885012507,1.0,0.9190093708165997,0.8725108768406962,effnetv2_s,gz2,soft,d4,224,full,bce,0,4,False,True
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,0.7080062794348508,0.8501738659453482,0.282574568288854,0.24960753532182103,0.24489795918367346,convnext_tiny,fmh,hard,none,224,full,bce,0,0,False,True
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,0.7095761381475667,0.7689910726058715,0.0031397174254317113,0.0031397174254317113,0.0031397174254317113,convnext_tiny,fmh,hard,none,224,full,bce,0,1,False,True
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,0.7111459968602826,0.7753914729907458,0.0,0.0,0.0,convnext_tiny,fmh,hard,none,224,full,bce,0,2,False,True
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,0.7080062794348508,0.8166413667255272,0.07221350078492936,0.04395604395604396,0.04395604395604396,resnet50,fmh,hard,none,224,full,bce,0,0,False,True
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,0.7048665620094191,0.7721766510681873,0.015698587127158554,0.015698587127158554,0.015698587127158554,resnet50,fmh,hard,none,224,full,bce,0,1,False,True
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,0.7158555729984302,0.8000569148632637,0.03610675039246468,0.018838304552590265,0.018838304552590265,resnet50,fmh,hard,none,224,full,bce,0,2,False,True
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,0.7127158555729984,0.8117888957131492,0.015698587127158554,0.015698587127158554,0.015698587127158554,vit_small,fmh,hard,none,224,full,bce,0,0,False,True
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,0.7221350078492935,0.8295213427939001,0.08634222919937205,0.04081632653061224,0.04081632653061224,vit_small,fmh,hard,none,224,full,bce,0,1,False,True
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,0.7158555729984302,0.8223824697106779,0.08948194662480377,0.04866562009419152,0.04866562009419152,vit_small,fmh,hard,none,224,full,bce,0,2,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed0,0.9463060575635877,0.9949845845866884,0.9917168674698795,0.8972556894243642,0.8452560240963856,mobilenetv3,gz2,hard,d4,224,full,bce,0,0,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed1,0.9455739625167336,0.9948581602331334,0.9906710174029452,0.8963562583668006,0.8426413989290495,mobilenetv3,gz2,hard,d4,224,full,bce,0,1,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed2,0.9464106425702812,0.9949354944594003,0.9918214524765729,0.8978204484605087,0.8412399598393574,mobilenetv3,gz2,hard,d4,224,full,bce,0,2,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed3,0.9444653614457831,0.9948254626160205,0.9880145582329317,0.8957705823293173,0.8418674698795181,mobilenetv3,gz2,hard,d4,224,full,bce,0,3,False,True
mobilenetv3_hard_d4_s224_full_bce_nfull_seed4,0.9461387215528781,0.9949636139053267,0.9917168674698795,0.8983852074966533,0.8440637550200804,mobilenetv3,gz2,hard,d4,224,full,bce,0,4,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed0,0.9510751338688086,0.9959346799418805,1.0,0.9204108099062919,0.8645624163319946,mobilenetv3,gz2,soft,d4,224,full,bce,0,0,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed1,0.9519327309236948,0.9959117535538613,1.0,0.9174196787148594,0.8656710174029452,mobilenetv3,gz2,soft,d4,224,full,bce,0,1,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed2,0.9528530789825971,0.9959603573614667,1.0,0.918653781793842,0.8638930722891566,mobilenetv3,gz2,soft,d4,224,full,bce,0,2,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed3,0.9523092369477911,0.9957706330956511,1.0,0.9199924698795181,0.865210843373494,mobilenetv3,gz2,soft,d4,224,full,bce,0,3,False,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed4,0.952790327978581,0.9959918957291662,1.0,0.9168340026773761,0.8669260374832664,mobilenetv3,gz2,soft,d4,224,full,bce,0,4,False,True
resnet50_hard_conf_d4_s224_full_bce_nfull_seed0,0.9441725234270415,0.9940457971116676,0.9859437751004017,0.8874456157965194,0.8257195448460509,resnet50,gz2,hard_conf,d4,224,full,bce,0,0,False,True
resnet50_hard_conf_d4_s224_full_bce_nfull_seed1,0.9446117804551539,0.9941563533883508,0.9874916331994645,0.8913361780455153,0.8304886211512718,resnet50,gz2,hard_conf,d4,224,full,bce,0,1,False,True
resnet50_hard_conf_d4_s224_full_bce_nfull_seed2,0.9404911311914324,0.9935553027384334,0.9768448795180723,0.8797063253012049,0.8149263721552878,resnet50,gz2,hard_conf,d4,224,full,bce,0,2,False,True
resnet50_hard_d4_s224_full_bce_n10000_seed0,0.9144703815261044,0.9859892350094557,0.8982387884872824,0.7585132195448461,0.6703898929049531,resnet50,gz2,hard,d4,224,full,bce,10000,0,False,True
resnet50_hard_d4_s224_full_bce_n10000_seed1,0.925096218206158,0.9894042449781806,0.9363495649263721,0.8130647590361446,0.7305262717536813,resnet50,gz2,hard,d4,224,full,bce,10000,1,False,True
resnet50_hard_d4_s224_full_bce_n2000_seed0,0.8995983935742972,0.977257912359291,0.8447958500669344,0.6520456827309237,0.4760081994645248,resnet50,gz2,hard,d4,224,full,bce,2000,0,False,True
resnet50_hard_d4_s224_full_bce_n2000_seed1,0.8920891900937081,0.9759681311391696,0.8163487282463187,0.6328020414993306,0.49849397590361444,resnet50,gz2,hard,d4,224,full,bce,2000,1,False,True
resnet50_hard_d4_s224_full_bce_n25000_seed0,0.9359521419009371,0.9927446367448153,0.9673694779116466,0.861989625167336,0.7964775769745649,resnet50,gz2,hard,d4,224,full,bce,25000,0,False,True
resnet50_hard_d4_s224_full_bce_n25000_seed1,0.9354292168674698,0.9924203342105543,0.9644829317269076,0.8577016398929049,0.7846176372155288,resnet50,gz2,hard,d4,224,full,bce,25000,1,False,True
resnet50_hard_d4_s224_full_bce_n50000_seed0,0.9419134872824632,0.9939964294339629,0.9806099397590361,0.8814006024096386,0.8204066265060241,resnet50,gz2,hard,d4,224,full,bce,50000,0,False,True
resnet50_hard_d4_s224_full_bce_n50000_seed1,0.9412441432396251,0.9936978775486558,0.9789365796519411,0.8790788152610441,0.8140269410977242,resnet50,gz2,hard,d4,224,full,bce,50000,1,False,True
resnet50_hard_d4_s224_full_bce_n5000_seed0,0.9165620816599732,0.9856379503118622,0.9041792168674698,0.7621736947791165,0.6686746987951807,resnet50,gz2,hard,d4,224,full,bce,5000,0,False,True
resnet50_hard_d4_s224_full_bce_n5000_seed1,0.9155580655957162,0.9847935651768254,0.9060408299866132,0.7600401606425703,0.6465445113788487,resnet50,gz2,hard,d4,224,full,bce,5000,1,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed0,0.9474774096385542,0.9953163071083676,0.9944569946452476,0.9064382530120482,0.8503597724230254,resnet50,gz2,hard,d4,224,full,bce,0,0,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed1,0.9471009036144579,0.9952080046626044,0.9932438085676037,0.901690093708166,0.8484354082998661,resnet50,gz2,hard,d4,224,full,bce,0,1,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed2,0.9486696787148594,0.995309046302082,0.9966323627844712,0.9054551539491299,0.8538319946452476,resnet50,gz2,hard,d4,224,full,bce,0,2,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed3,0.9471845716198126,0.9951909852055973,0.9937667336010709,0.9032797858099063,0.8522213855421686,resnet50,gz2,hard,d4,224,full,bce,0,3,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed4,0.9491089357429718,0.995457918778339,0.9979710508701473,0.9108935742971888,0.8545222556894244,resnet50,gz2,hard,d4,224,full,bce,0,4,False,True
resnet50_hard_debiased_d4_s224_full_bce_nfull_seed0,0.6862031459170014,0.8050196382289402,0.152024765729585,0.1060282797858099,0.07858517402945114,resnet50,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
resnet50_hard_debiased_d4_s224_full_bce_nfull_seed1,0.6810366465863453,0.7920468145494709,0.1371318607764391,0.09113537483266398,0.06632781124497993,resnet50,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
resnet50_hard_debiased_d4_s224_full_bce_nfull_seed2,0.7061370481927711,0.8059216685109245,0.136065093708166,0.07484103078982597,0.04411395582329317,resnet50,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
resnet50_soft_d4_photo_s224_full_bce_nfull_seed0,0.9541917670682731,0.9964147727793522,1.0,0.9277526773761714,0.8794762382864793,resnet50,gz2,soft,d4_photo,224,full,bce,0,0,False,True
resnet50_soft_d4_photo_s224_full_bce_nfull_seed1,0.9547983601070951,0.9964478808760984,1.0,0.9293005354752343,0.8809404283801874,resnet50,gz2,soft,d4_photo,224,full,bce,0,1,False,True
resnet50_soft_d4_photo_s224_full_bce_nfull_seed2,0.9543800200803213,0.9963996208893348,1.0,0.9277317603748326,0.8791834002677377,resnet50,gz2,soft,d4_photo,224,full,bce,0,2,False,True
resnet50_soft_d4_s112_full_bce_nfull_seed0,0.952183734939759,0.995959420340185,1.0,0.9207454819277109,0.8684529785809906,resnet50,gz2,soft,d4,112,full,bce,0,0,False,True
resnet50_soft_d4_s112_full_bce_nfull_seed1,0.9528949129852744,0.9959740301940427,1.0,0.9214775769745649,0.8673025435073628,resnet50,gz2,soft,d4,112,full,bce,0,1,False,True
resnet50_soft_d4_s160_full_bce_nfull_seed0,0.9520373159303882,0.995969459202322,1.0,0.9188420348058902,0.869498828647925,resnet50,gz2,soft,d4,160,full,bce,0,0,False,True
resnet50_soft_d4_s160_full_bce_nfull_seed1,0.9522255689424364,0.9960981078334221,1.0,0.9227535140562249,0.8700426706827309,resnet50,gz2,soft,d4,160,full,bce,0,1,False,True
resnet50_soft_d4_s224_frozen_bce_nfull_seed0,0.8510918674698795,0.9546643056742454,0.6453940763052208,0.3885542168674699,0.2597054886211513,resnet50,gz2,soft,d4,224,frozen,bce,0,0,False,True
resnet50_soft_d4_s224_frozen_bce_nfull_seed1,0.8518030455153949,0.9547913685379823,0.6333877175368139,0.4094503012048193,0.25696536144578314,resnet50,gz2,soft,d4,224,frozen,bce,0,1,False,True
resnet50_soft_d4_s224_full_bce_n10000_seed0,0.9318314926372155,0.9913833167471592,0.9542754350736279,0.8360525435073628,0.7692854752342704,resnet50,gz2,soft,d4,224,full,bce,10000,0,False,True
resnet50_soft_d4_s224_full_bce_n10000_seed1,0.9338604417670683,0.9916641254734053,0.9571828982597055,0.8466365461847389,0.7674029451137885,resnet50,gz2,soft,d4,224,full,bce,10000,1,False,True
resnet50_soft_d4_s224_full_bce_n2000_seed0,0.9034680388219545,0.9808314415589758,0.8588520749665328,0.6966616465863453,0.5847975234270415,resnet50,gz2,soft,d4,224,full,bce,2000,0,False,True
