run_id,bin,bin_centre,confidence,observed,count,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0,14,0.9666666666666667,0.9873584416404511,0.9865361077111383,7353,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,0,0.03333333333333333,0.05734205419426935,0.0,2283,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,1,0.1,0.0945183180341908,0.0,16120,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,2,0.16666666666666669,0.16280527783873536,0.0016248420292471566,5539,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,3,0.23333333333333334,0.23212437636090724,0.007900677200902935,3544,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,4,0.3,0.29832629948493755,0.0359304084720121,2644,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,5,0.3666666666666667,0.36556528219477974,0.11644134321849106,2293,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,6,0.43333333333333335,0.4334150575067898,0.2636045931103345,2003,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,7,0.5,0.4994690106342896,0.46280522430437254,1761,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,8,0.5666666666666667,0.5663101401041719,0.6859403530127814,1643,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,9,0.6333333333333333,0.6339512871036047,0.8468354430379746,1580,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,10,0.7,0.6993907410882302,0.9341161121983039,1533,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,11,0.7666666666666666,0.7669016103921965,0.9855272226051,1451,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,12,0.8333333333333334,0.8331895523977975,0.9958362248438585,1441,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,13,0.9,0.900716237229435,0.9994179278230501,1718,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,14,0.9666666666666667,0.9674085534332597,1.0,2255,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,0,0.03333333333333333,0.05684212470829156,0.0,2553,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,1,0.1,0.09413646876937623,0.0,15892,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,2,0.16666666666666669,0.16319581728111443,0.001443001443001443,5544,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
