run_id,n_test,accuracy,accuracy_lo,accuracy_hi,balanced_accuracy,balanced_accuracy_lo,balanced_accuracy_hi,auc_roc,auc_roc_lo,auc_roc_hi,auc_pr,auc_pr_lo,auc_pr_hi,f1,f1_lo,f1_hi,ece,ece_lo,ece_hi,brier,brier_lo,brier_hi
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,47808,0.9407630522088354,0.9387544971552878,0.9430016942771084,0.9204644501275802,0.9175756503620046,0.9236779974798225,0.9852470802584684,0.9844838502064882,0.9860280008243737,0.9621480035020413,0.9601029966655151,0.9641214626599572,0.8855295068714631,0.8814417458655183,0.8899662715701172,0.0069679023320908485,0.005438422890136966,0.00895595749151461,0.04236795050065333,0.04108545643308432,0.043574605425971205
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0,47808,0.9392779451137885,0.9372489959839357,0.9414742302543507,0.921326329094599,0.9184239360079527,0.9243750261259597,0.9840369134233029,0.9832366920353413,0.9848707768585044,0.9589131516344951,0.9567194450457115,0.9610657116768742,0.8836706070927669,0.879444714292991,0.8878253573966512,0.002413640233898666,0.001877524075403271,0.004721276550978287,0.043896136195105455,0.04266534506471157,0.0450709995496469
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,47808,0.9451765394912985,0.9431266733601071,0.9472682396251674,0.9287392078083705,0.9258815601089337,0.9316131088340006,0.9874554865935826,0.9867663254961144,0.9881862097802618,0.9677008424722536,0.9658664007560112,0.9695189623376236,0.8948951357420701,0.8909316389137079,0.8990008413076364,0.13968526002200735,0.1377686074481667,0.1415575727927948,0.06341218477945629,0.06259405743612154,0.06420379682280719
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,47808,0.9463897255689424,0.944339859437751,0.9485232597054887,0.9300525774345795,0.9272705337051547,0.9329640806304969,0.9879983482018068,0.9872911761828389,0.9886960093318872,0.9689969347819244,0.9671278746973804,0.970753912425857,0.8971384998194004,0.8930718677652396,0.9010822572561971,0.13938974007184762,0.1374455535879448,0.14129878384806147,0.06260723277506387,0.06178682458465114,0.06338611890991878
cnn_small_hard_d4_s128_full_bce_nfull_seed0,47808,0.9327727576974565,0.9306183065595717,0.9350945448460509,0.9100031190418831,0.9069056918252945,0.91317042367672,0.9806699064853674,0.9797146730656375,0.9816101185780346,0.9503859088637103,0.9477388942724372,0.9528332107969049,0.8700469027979945,0.8656887569866047,0.8745568389793934,0.005942517408885157,0.004875859690862654,0.00821821816695027,0.048194025762701924,0.04682611572142455,0.049491332959223006
cnn_small_soft_d4_s128_full_bce_nfull_seed0,47808,0.9389641900937081,0.9368934069611781,0.9410768072289156,0.9205696220565517,0.9177086330914335,0.9236268342860344,0.9840227528715203,0.9832174978468815,0.9848412674201714,0.9593426277116294,0.9573053239189733,0.9614622938664464,0.8829428754813865,0.8788251232371762,0.8870199338538544,0.13469950447846743,0.13268841402800075,0.13658393138783095,0.06602653971757311,0.06514822396037577,0.06682840323222977
cnn_small_soft_d4_s64_full_bce_nfull_seed0,47808,0.9357011378848729,0.9336303547523427,0.9379606969544846,0.9177916312327707,0.9148445806594947,0.9210768641729488,0.9826727749748668,0.9817966820872462,0.9835643317507571,0.9556679788134415,0.9532997129917847,0.9579691181177642,0.8772364217252396,0.8732285608092929,0.881526948429491,0.13322211831569336,0.13131834309030602,0.13517554253196976,0.06756942788976705,0.06669958448951864,0.06845729418237993
cnn_small_soft_d4_s96_full_bce_nfull_seed0,47808,0.9377928380187416,0.9356796979585006,0.9399059780789826,0.9196475119697269,0.916686452365802,0.922694881546171,0.9837609981797907,0.982945445895781,0.9846185893611876,0.9585611548156239,0.9563972434592589,0.9606837886688853,0.8809161527989109,0.8766861520973054,0.8850330316111195,0.13486401523121194,0.13286236476509064,0.13676026734527996,0.06666257488570805,0.06581635457157889,0.06748763892444709
convnext_tiny_hard_conf_d4_s224_full_bce_nfull_seed0,47808,0.9457203815261044,0.9437118264725569,0.9478539156626506,0.9392958560590301,0.9367818861584943,0.9419841512409797,0.9881655763329149,0.9874831302770773,0.9888451173521607,0.9688560649755525,0.966965309360756,0.9707221825608648,0.8990154492742344,0.8953125595928756,0.9030008077364526,0.04641417623304179,0.044536023116248546,0.048339202445754695,0.049422645779445364,0.04758259001936937,0.05123711958195335
convnext_tiny_hard_d4_s224_full_bce_nfull_seed0,47808,0.9473519076305221,0.9453647925033467,0.9493181057563588,0.9399848637721343,0.9374127143431937,0.9423839766593861,0.9894723148644651,0.9888571619462622,0.9900817418653793,0.9727804612364064,0.9711875463720128,0.9743420989645123,0.9016297338492202,0.8977789798458791,0.9053428850834527,0.013474499363217318,0.011905806006653485,0.015300819145811207,0.03771693102974736,0.03644010863341066,0.038996240162627496
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,47808,0.691390562248996,0.6874372489959839,0.6956581534471219,0.7873202816814602,0.7845817947321531,0.7902293953015125,0.9568695987771672,0.9550902855120507,0.9586756217469806,0.9053611530249203,0.9015259785112928,0.9092168434098509,0.6255900116733493,0.6203701169335427,0.6309021898803674,0.15188067794318474,0.1478608701229239,0.15597188319888142,0.2269258638515409,0.22403484829010273,0.22967275571904078
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed0,47808,0.9553422021419009,0.9534805890227577,0.9572874832663989,0.9413463547736096,0.9387202423975614,0.9439697487161806,0.9916474409537205,0.9910837722302505,0.9921654841483813,0.9782939720158141,0.976830791588232,0.9796187435585261,0.9142329168842647,0.9105831840514184,0.9178422621421035,0.14451263539384457,0.1428545889229312,0.14626978013401482,0.058913413959608585,0.0581654439199766,0.059645184702138664
convnext_tiny_soft_d4_s112_full_bce_nfull_seed0,47808,0.953459672021419,0.9516189759036144,0.9554677041499331,0.9421208339620358,0.9395636787986259,0.9448053278220967,0.991007767178351,0.9904464710861225,0.9915722171337683,0.9765937379982386,0.9751075027761394,0.9780409971126787,0.911499144823197,0.9079883060423236,0.915357308081031,0.14040566248259911,0.1385945185431715,0.14229099174519322,0.0587662728112933,0.05800502954139812,0.05950193756889191
convnext_tiny_soft_d4_s160_full_bce_nfull_seed0,47808,0.9541499330655957,0.9523301539491299,0.9561370481927711,0.9433396713561429,0.9407894748366816,0.9459502761855053,0.9912618506259516,0.9907146063462484,0.9918159053335219,0.9771503546944793,0.9757225141845202,0.9785478880374118,0.9128983549233093,0.9093427630048995,0.9165551958987033,0.14269190236886803,0.1409483107796833,0.14450857592312003,0.05913470676910764,0.05837491393490998,0.059872142625982235
convnext_tiny_soft_d4_s224_frozen_bce_nfull_seed0,47808,0.9023385207496654,0.899911625669344,0.9048700008366801,0.8584317823652864,0.854898216001762,0.8621871357743796,0.9601844246943035,0.9586380962248106,0.9617091355993163,0.9066983524931816,0.9030833267834788,0.9104027360851498,0.8037987981678363,0.798892782036042,0.8088490143368748,0.11924580862316139,0.11728879240337943,0.12165610059799335,0.08511674171405674,0.08410806279647838,0.0861352691449265
convnext_tiny_soft_d4_s224_full_bce_nfull_seed0,47808,0.9545473560910308,0.952790327978581,0.9564304091365462,0.9420530212074885,0.9395990916061898,0.9446748532514799,0.9914372933289927,0.9908934210799469,0.9919932788602143,0.9777133804466274,0.9762868129631048,0.9791184794693084,0.9131737723258881,0.9097615390263469,0.9167439999587425,0.14015949132784153,0.13841065093213084,0.14198543894349003,0.05802991505164001,0.057287540908378266,0.05876806673429248
convnext_tiny_soft_d4_s224_full_bce_nfull_seed0_scratch,47808,0.9467034805890228,0.9446954484605087,0.9487742637215528,0.9324425891031283,0.9297182257462374,0.9353153835260966,0.9878535916095778,0.9871327222762207,0.9885654879849498,0.9682180675520511,0.9662849294127593,0.9701148735546585,0.8983645791783007,0.8944762193910077,0.9022834816780918,0.13873056158544358,0.13669788152704856,0.14066805919018524,0.06242427268358617,0.061603740300370434,0.06321670161762241
