run_id,bin,n,share,accuracy,accuracy_gold,gold_matches_panel,majority_baseline,lift,error_share,arch,label_mode,seed,test_accuracy
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,0,171,0.2684458398744113,0.5146198830409356,0.9824561403508771,0.49707602339181284,0.5146198830409356,0.0,0.44623655913978494,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,1,184,0.28885400313971743,0.7065217391304348,0.9782608695652174,0.717391304347826,0.5,0.2065217391304348,0.2903225806451613,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,2,167,0.2621664050235479,0.7964071856287425,0.9760479041916168,0.7964071856287425,0.6946107784431137,0.10179640718562877,0.1827956989247312,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,3,91,0.14285714285714285,0.8461538461538461,0.967032967032967,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07526881720430108,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed0,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005376344086021506,convnext_tiny,hard,0,0.7080062794348508
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,0,171,0.2684458398744113,0.5263157894736842,0.9707602339181286,0.49707602339181284,0.5146198830409356,0.011695906432748537,0.43783783783783786,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,1,184,0.28885400313971743,0.7065217391304348,0.967391304347826,0.717391304347826,0.5,0.2065217391304348,0.2918918918918919,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,2,167,0.2621664050235479,0.7844311377245509,0.9760479041916168,0.7964071856287425,0.6946107784431137,0.08982035928143717,0.1945945945945946,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,3,91,0.14285714285714285,0.8571428571428571,0.978021978021978,0.8351648351648352,0.945054945054945,-0.08791208791208793,0.07027027027027027,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed1,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005405405405405406,convnext_tiny,hard,1,0.7095761381475667
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,0,171,0.2684458398744113,0.52046783625731,0.9649122807017544,0.49707602339181284,0.5146198830409356,0.005847953216374324,0.44565217391304346,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,1,184,0.28885400313971743,0.7065217391304348,0.9782608695652174,0.717391304347826,0.5,0.2065217391304348,0.29347826086956524,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,2,167,0.2621664050235479,0.7964071856287425,0.9760479041916168,0.7964071856287425,0.6946107784431137,0.10179640718562877,0.18478260869565216,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,3,91,0.14285714285714285,0.8571428571428571,0.978021978021978,0.8351648351648352,0.945054945054945,-0.08791208791208793,0.07065217391304347,convnext_tiny,hard,2,0.7111459968602826
fmh_convnext_tiny_hard_none_s224_full_bce_nfull_seed2,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005434782608695652,convnext_tiny,hard,2,0.7111459968602826
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,0,171,0.2684458398744113,0.5263157894736842,0.9473684210526315,0.49707602339181284,0.5146198830409356,0.011695906432748537,0.43548387096774194,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,1,184,0.28885400313971743,0.717391304347826,0.967391304347826,0.717391304347826,0.5,0.21739130434782605,0.27956989247311825,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,2,167,0.2621664050235479,0.7724550898203593,0.9640718562874252,0.7964071856287425,0.6946107784431137,0.07784431137724557,0.20430107526881722,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,3,91,0.14285714285714285,0.8461538461538461,0.967032967032967,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07526881720430108,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed0,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005376344086021506,resnet50,hard,0,0.7080062794348508
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,0,171,0.2684458398744113,0.52046783625731,0.9649122807017544,0.49707602339181284,0.5146198830409356,0.005847953216374324,0.43617021276595747,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,1,184,0.28885400313971743,0.717391304347826,0.967391304347826,0.717391304347826,0.5,0.21739130434782605,0.2765957446808511,resnet50,hard,1,0.7048665620094191
