run_id,bin,agreement_low,agreement_high,n,share,featured_fraction,majority_baseline,lift,error_share,accuracy,balanced_accuracy,auc_roc,ece,brier,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0,0.0,0.2,5107,0.10682312583668005,0.4315645192872528,0.5684354807127472,0.07382024672018805,0.6451271186440678,0.6422557274329352,0.6343607401567813,0.6884254538611724,0.148292094309596,0.24511200734916924,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,1,0.2,0.4,5703,0.11928965863453815,0.38523584078555145,0.6147641592144486,0.25530422584604584,0.2616525423728814,0.8700683850604944,0.8594861504083902,0.9362568777991874,0.017613784361736943,0.09560412722587713,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,2,0.4,0.6,6995,0.14631442436412315,0.2923516797712652,0.7076483202287348,0.2624731951393853,0.0737994350282486,0.9701215153681201,0.9595179175619273,0.994811834728705,0.030850877454132723,0.025045803404477707,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,3,0.6,0.8,13270,0.2775686077643909,0.16729464958553128,0.8327053504144687,0.1637528259231349,0.016596045197740113,0.9964581763376036,0.9913941543353308,0.9999037136684196,0.008759201653475232,0.0034603003002728772,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,4,0.8,1.0,16733,0.35000418340026773,0.22769377876053307,0.7723062212394669,0.22721568158728267,0.002824858757062147,0.9995219028267496,0.9989501312335958,0.9999998375193428,0.002045470800372526,0.000442003145575055,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,0,0.0,0.2,5107,0.10682312583668005,0.4315645192872528,0.5684354807127472,0.07382024672018805,0.6313061506565307,0.6422557274329352,0.6352893589646608,0.6867416240662235,0.14281480008252387,0.2458326967469492,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,1,0.2,0.4,5703,0.11928965863453815,0.38523584078555145,0.6147641592144486,0.24776433456075742,0.2709053213545266,0.862528493775206,0.8535237466638244,0.9324377534993654,0.01451769800040367,0.09914480887745757,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,2,0.4,0.6,6995,0.14631442436412315,0.2923516797712652,0.7076483202287348,0.2598999285203717,0.07843814789219074,0.9675482487491065,0.9564083376552814,0.9935554073744783,0.030110251310848192,0.027349505843552637,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,3,0.6,0.8,13270,0.2775686077643909,0.16729464958553128,0.8327053504144687,0.16352675207234368,0.017277125086385625,0.9962321024868124,0.9910784313725489,0.9997896946720476,0.010439563415977826,0.004122233551888136,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,4,0.8,1.0,16733,0.35000418340026773,0.22769377876053307,0.7723062212394669,0.2273352058805952,0.002073255010366275,0.9996414271200621,0.9993051413145051,0.9999995125580284,0.002213558790102622,0.000540213855907487,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
