run_id,coverage,accuracy,arch,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.21206030150753769,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.21698492462311558,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.22190954773869345,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.22683417085427135,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.23175879396984925,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.23668341708542714,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.24160804020100501,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2465326633165829,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2514572864321608,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2563819095477387,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2613065326633166,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2662311557788945,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2711557788944724,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2760804020100503,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.2810050251256282,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.28592964824120604,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.29085427135678393,1.0,cnn_deep,hard,d4,128,full,bce,0,0,False,True
