run_id,spearman_vs_votefraction,mae_vs_votefraction,pearson_vs_votefraction,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_small_soft_d4_s64_full_bce_nfull_seed0,0.9047734241795622,0.06807351749741067,0.9481179281365357,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed1,0.9032772176381317,0.07067304906073202,0.9432560596570237,cnn_small,gz2,soft,d4,64,full,bce,0,1,False,True
cnn_small_soft_d4_s96_full_bce_nfull_seed0,0.9063901558917223,0.06665665214336428,0.9507257363547854,cnn_small,gz2,soft,d4,96,full,bce,0,0,False,True
cnn_small_soft_d4_s96_full_bce_nfull_seed1,0.9069797825581126,0.06639049845044319,0.9510843815587524,cnn_small,gz2,soft,d4,96,full,bce,0,1,False,True
convnext_tiny_hard_conf_d4_s224_full_bce_nfull_seed0,0.8451467522705969,0.18607807617481753,0.8759468848698297,convnext_tiny,gz2,hard_conf,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_conf_d4_s224_full_bce_nfull_seed1,0.8788186351040292,0.18468965439538793,0.87614704848974,convnext_tiny,gz2,hard_conf,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_conf_d4_s224_full_bce_nfull_seed2,0.8754195507888763,0.1792756699957226,0.8825584840426727,convnext_tiny,gz2,hard_conf,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed0,0.8749168526628706,0.1560133420147765,0.916646329487026,convnext_tiny,gz2,hard,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed1,0.8969725204404443,0.14688415282017667,0.9249941391777031,convnext_tiny,gz2,hard,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed2,0.8948741856395701,0.15574270026848133,0.9148700130401807,convnext_tiny,gz2,hard,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed3,0.8939852140425445,0.15490659669063264,0.9169915955662538,convnext_tiny,gz2,hard,d4,224,full,bce,0,3,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed4,0.8432402373362955,0.1526994092287379,0.9166783202990806,convnext_tiny,gz2,hard,d4,224,full,bce,0,4,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,0.817369557243733,0.2734861089651209,0.7503341612926866,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,0.8309355810798951,0.28853613361376523,0.7328043129760954,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,0.8398144458652894,0.28238743606133476,0.7526799676346898,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed0,0.9230148133941394,0.05273834993678291,0.9715151249158779,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,0,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed1,0.9232086755835172,0.053856806538188966,0.9709129616538756,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,1,False,True
convnext_tiny_soft_d4_photo_s224_full_bce_nfull_seed2,0.9230661904688108,0.05266373325476283,0.9717318937160542,convnext_tiny,gz2,soft,d4_photo,224,full,bce,0,2,False,True
convnext_tiny_soft_d4_s112_full_bce_nfull_seed0,0.9226289730718857,0.053990080047205236,0.9697727017618978,convnext_tiny,gz2,soft,d4,112,full,bce,0,0,False,True
convnext_tiny_soft_d4_s112_full_bce_nfull_seed1,0.922942617082488,0.054034238675683376,0.9698863830234418,convnext_tiny,gz2,soft,d4,112,full,bce,0,1,False,True
convnext_tiny_soft_d4_s160_full_bce_nfull_seed0,0.923266140824759,0.053263393383505844,0.9708863976916071,convnext_tiny,gz2,soft,d4,160,full,bce,0,0,False,True
convnext_tiny_soft_d4_s160_full_bce_nfull_seed1,0.9224515129154522,0.053621157106387984,0.9704939194492437,convnext_tiny,gz2,soft,d4,160,full,bce,0,1,False,True
convnext_tiny_soft_d4_s224_frozen_bce_nfull_seed0,0.8480736370602622,0.09588423396128988,0.8941940811180231,convnext_tiny,gz2,soft,d4,224,frozen,bce,0,0,False,True
convnext_tiny_soft_d4_s224_frozen_bce_nfull_seed1,0.8485423466777645,0.09578210721488634,0.8948897266336986,convnext_tiny,gz2,soft,d4,224,frozen,bce,0,1,False,True
convnext_tiny_soft_d4_s224_full_bce_nfull_seed0,0.9231993924893745,0.05293382654256426,0.971107378427761,convnext_tiny,gz2,soft,d4,224,full,bce,0,0,False,True
convnext_tiny_soft_d4_s224_full_bce_nfull_seed0_scratch,0.9166379522664326,0.059646364625338774,0.9614089477170928,convnext_tiny,gz2,soft,d4,224,full,bce,0,0,False,False
convnext_tiny_soft_d4_s224_full_bce_nfull_seed1,0.923814284873085,0.05304056338899855,0.971032313778247,convnext_tiny,gz2,soft,d4,224,full,bce,0,1,False,True
convnext_tiny_soft_d4_s224_full_bce_nfull_seed1_scratch,0.9183677325969296,0.05824118317614667,0.9637482043013124,convnext_tiny,gz2,soft,d4,224,full,bce,0,1,False,False
convnext_tiny_soft_d4_s224_full_bce_nfull_seed2,0.9235080507714297,0.05305471228357642,0.971254495024247,convnext_tiny,gz2,soft,d4,224,full,bce,0,2,False,True
convnext_tiny_soft_d4_s224_full_bce_nfull_seed2_scratch,0.9164586275550067,0.059949059854443744,0.9609924425426464,convnext_tiny,gz2,soft,d4,224,full,bce,0,2,False,False
convnext_tiny_soft_d4_s224_full_bce_nfull_seed3,0.9230366512008875,0.05333129878190048,0.9710233830486844,convnext_tiny,gz2,soft,d4,224,full,bce,0,3,False,True
convnext_tiny_soft_d4_s224_full_bce_nfull_seed4,0.920288576771933,0.05395057705335145,0.970323963820428,convnext_tiny,gz2,soft,d4,224,full,bce,0,4,False,True
convnext_tiny_soft_d4_s224_full_focal_nfull_seed0,0.9220120758664004,0.09875554025356253,0.9556422174612885,convnext_tiny,gz2,soft,d4,224,full,focal,0,0,False,True
convnext_tiny_soft_d4_s224_full_focal_nfull_seed1,0.9209729963756662,0.09561830325702352,0.9576074670998812,convnext_tiny,gz2,soft,d4,224,full,focal,0,1,False,True
convnext_tiny_soft_d4_s224_full_smooth_nfull_seed0,0.9225920131194907,0.06453699255949635,0.9706846944281843,convnext_tiny,gz2,soft,d4,224,full,smooth,0,0,False,True
convnext_tiny_soft_d4_s224_full_smooth_nfull_seed1,0.9235652790644164,0.06288343704015514,0.9709409612000637,convnext_tiny,gz2,soft,d4,224,full,smooth,0,1,False,True
convnext_tiny_soft_d4_s224_partial_bce_nfull_seed0,0.904316537137295,0.06752151664872566,0.9485956098454706,convnext_tiny,gz2,soft,d4,224,partial,bce,0,0,False,True
