run_id,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained,val_threshold,test_accuracy,decals_accuracy,accuracy_drop,test_auc_roc,decals_auc_roc,auc_drop,test_balanced_accuracy,decals_balanced_accuracy,test_balanced_accuracy_tuned,decals_balanced_accuracy_tuned,balanced_accuracy_drop_tuned,decals_tta_accuracy
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True,0.2823066739345838,0.9407630522088354,0.8956222132144305,0.04514083899440491,0.9852470802584684,0.9680114263047674,0.01723565395370097,0.9204644501275802,0.9096641400674438,0.9332651715180842,0.9113520084595912,0.021913163058493,0.9020402648290772
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,0,False,True,0.2598256170749664,0.9392779451137885,0.895960005404675,0.04331793970911346,0.9840369134233029,0.9700427066124163,0.013994206810886589,0.921326329094599,0.9107496076166338,0.9307189173755896,0.9115714674444566,0.019147449931133043,0.8987974598027294
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True,0.4355951902705771,0.9451765394912985,0.8782596946358601,0.06691684485543847,0.9874554865935826,0.9801604346731655,0.007295051920417128,0.9287392078083705,0.902553726055479,0.9392951664070368,0.9216199645766037,0.01767520183043314,0.8846777462505067
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True,0.4368622601032257,0.9463897255689424,0.8725172274017025,0.07387249816723995,0.9879983482018068,0.9732936441969923,0.014704704004814495,0.9300525774345795,0.8969942479804145,0.9402669768092176,0.9133328898747392,0.026934086934478407,0.880624239967572
cnn_small_hard_d4_s128_full_bce_nfull_seed0,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True,0.2598256170749664,0.9327727576974565,0.8870422915822186,0.0457304661152379,0.9806699064853674,0.950868420941012,0.029801485544355466,0.9100031190418831,0.8647945250509514,0.9242063022068827,0.794684761299915,0.12952154090696766,0.9098094852047021
cnn_small_soft_d4_s128_full_bce_nfull_seed0,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True,0.4349412620067596,0.9389641900937081,0.8385353330630996,0.10042885703060855,0.9840227528715203,0.9722219616574442,0.011800791214076067,0.9205696220565517,0.8733228985976322,0.9315546530874431,0.8976173671218874,0.033937285965555675,0.8521821375489799
convnext_tiny_hard_d4_s224_full_bce_nfull_seed0,convnext_tiny,gz2,hard,d4,224,full,bce,0,0,False,True,0.2107662856578827,0.9473519076305221,0.9489258208350223,-0.001573913204500177,0.9894723148644651,0.988601877012591,0.0008704378518741285,0.9399848637721343,0.9534520804516002,0.9437388346703447,0.9538448716582975,-0.01010603698795276,0.9518983921091745
convnext_tiny_soft_d4_s224_full_bce_nfull_seed0,convnext_tiny,gz2,soft,d4,224,full,bce,0,0,False,True,0.4479231847234829,0.9545473560910308,0.961424131874071,-0.006876775783040245,0.9914372933289927,0.9910021102484287,0.00043518308056400556,0.9420530212074885,0.9605992816786455,0.9492280289669808,0.959903750452499,-0.010675721485518208,0.9638562356438319
convnext_tiny_soft_none_s224_full_bce_nfull_seed0_op,convnext_tiny,gz2,soft,none,224,full,bce,0,0,True,True,0.446977436542511,0.9542126840696118,0.9613565734360222,-0.007143889366410416,0.9914339233354533,0.9902776223452234,0.001156300990229897,0.9416191938062572,0.9584481676296326,0.9508804669031108,0.9530626743212351,-0.00218220741812436,
deit3_small_hard_d4_s224_full_bce_nfull_seed0,deit3_small,gz2,hard,d4,224,full,bce,0,0,False,True,0.16276577290724448,0.9471427376171352,0.9454803404945278,0.0016623971226074064,0.9882970401098333,0.9864225505954716,0.0018744895143617546,0.9280213345296012,0.9472348983588008,0.9416746518083201,0.9412225337761284,0.0004521180321916951,0.9495338467774626
deit3_small_soft_d4_s224_full_bce_nfull_seed0,deit3_small,gz2,soft,d4,224,full,bce,0,0,False,True,0.4661164283752441,0.9538989290495314,0.9602080799891907,-0.006309150939659225,0.9910140534470131,0.9904701842476655,0.0005438691993475686,0.9431957790974974,0.9539663877418147,0.9477936390275079,0.9477400088452452,5.363018226267613e-05,0.9625726253209026
densenet121_hard_d4_s224_full_bce_nfull_seed0,densenet121,gz2,hard,d4,224,full,bce,0,0,False,True,0.1613202393054962,0.9484186746987951,0.9366301851101203,0.011788489588674844,0.9888872064001737,0.9851433893863909,0.003743817013782791,0.9318400782689678,0.9437718633107809,0.941583059671558,0.944701107548035,-0.0031180478764770703,0.938319146061343
densenet121_soft_d4_s224_full_bce_nfull_seed0,densenet121,gz2,soft,d4,224,full,bce,0,0,False,True,0.4344612956047058,0.9537525100401606,0.9531144439940549,0.000638066046105723,0.991267181817347,0.9901529251056348,0.0011142567117121693,0.9411523084811915,0.9561282483885813,0.949765894001142,0.9545946864579165,-0.004828792456774478,0.954600729631131
effnetv2_s_hard_d4_s224_full_bce_nfull_seed0,effnetv2_s,gz2,hard,d4,224,full,bce,0,0,False,True,0.2861692607402801,0.9473309906291834,0.9167004458856911,0.03063054474349225,0.9886169422195404,0.9893259468792615,-0.0007090046597210131,0.9331523135991351,0.9335497484684365,0.9421092732167804,0.9468483267200634,-0.004739053503282964,0.919064991217403
effnetv2_s_soft_d4_s224_full_bce_nfull_seed0,effnetv2_s,gz2,soft,d4,224,full,bce,0,0,False,True,0.4291900992393493,0.9546728580990629,0.9612890149979733,-0.006616156898910375,0.9911862169001979,0.9918492969726651,-0.0006630800724671815,0.9398305632130117,0.9599599712684509,0.9492287050074215,0.9509673936396781,-0.0017386886322565687,0.9631806512633428
mobilenetv3_hard_d4_s224_full_bce_nfull_seed0,mobilenetv3,gz2,hard,d4,224,full,bce,0,0,False,True,0.169956237077713,0.9463060575635877,0.8002972571274152,0.14600880043617248,0.9879523513630263,0.8560215287592007,0.1319308226038256,0.9279478593692145,0.7406508881869318,0.9404913587149707,0.7073186533040711,0.23317270541089963,0.8094176462640184
mobilenetv3_soft_d4_s224_full_bce_nfull_seed0,mobilenetv3,gz2,soft,d4,224,full,bce,0,0,False,True,0.4554407894611358,0.9510751338688086,0.7145655992433455,0.2365095346254631,0.9902962073913488,0.8060156517772793,0.18428055561406953,0.9377335402119925,0.6216195322656504,0.9466470290681419,0.5971521393600852,0.34949488970805676,0.7216592352384813
resnet50_hard_d4_s224_full_bce_nfull_seed0,resnet50,gz2,hard,d4,224,full,bce,0,0,False,True,0.18942168068090026,0.9474774096385542,0.8770436427509796,0.07043376688757463,0.9888976226407232,0.9568738420387981,0.03202378060192512,0.9232959933360743,0.897288321388772,0.9434743803540362,0.8945541381375424,0.048920242216493826,0.8835968112417241
