run_id,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained,epochs_run,best_epoch,train_seconds,images_per_second,params,params_trainable,d4_invariance_error,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_auc_roc,test_auc_pr,test_brier,test_ece,test_nll,test_tta_accuracy,test_tta_balanced_accuracy,test_tta_precision,test_tta_recall,test_tta_f1,test_tta_mcc,test_tta_auc_roc,test_tta_auc_pr,test_tta_brier,test_tta_ece,test_tta_nll,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_auc_roc,val_auc_pr,val_brier,val_ece,val_nll,decals_accuracy,decals_balanced_accuracy,decals_precision,decals_recall,decals_f1,decals_mcc,decals_auc_roc,decals_auc_pr,decals_brier,decals_ece,decals_nll,decals_tta_accuracy,decals_tta_balanced_accuracy,decals_tta_precision,decals_tta_recall,decals_tta_f1,decals_tta_mcc,decals_tta_auc_roc,decals_tta_auc_pr,decals_tta_brier,decals_tta_ece,decals_tta_nll,val_threshold,temperature,test_accuracy_tuned,test_balanced_accuracy_tuned,test_f1_tuned,test_mcc_tuned,test_recall_tuned,test_precision_tuned,test_ece_calibrated,test_brier_calibrated,test_nll_calibrated,decals_accuracy_tuned,decals_balanced_accuracy_tuned,decals_f1_tuned,decals_mcc_tuned,decals_recall_tuned,decals_precision_tuned,decals_ece_calibrated,decals_brier_calibrated,decals_nll_calibrated
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True,20,19,1490.6755131157115,3280.2112621572273,4583233,4583233,0.05953383818268776,0.9407630522088354,0.9204644501275802,0.8931833007175473,0.8780057710804745,0.8855295068714631,0.8456328607791763,0.9852470802584684,0.9621480035020413,0.04236795050065333,0.0069679023320908485,0.13629762132932935,0.9437960174029452,0.9242534208644483,0.8994531951358851,0.883376082077589,0.8913421488940111,0.8535040459344304,0.9865783626877656,0.9654364343168906,0.04027741591734963,0.0034968597578953495,0.12965929387280228,0.9425523012552302,0.9212020244593042,0.9006589785831961,0.8765432098765432,0.8884374746079466,0.8499052949764928,0.9851891583477386,0.9622719383949039,0.041737074584353974,0.00559382840008095,0.13671439592591872,0.8956222132144305,0.9096641400674438,0.9730535489049421,0.8662719477337689,0.9165631581789706,0.7878746210421447,0.9680114263047674,0.9833836294257807,0.08143195853244649,0.04216627271649357,0.30722597357211867,0.9020402648290772,0.9165642918983132,0.9778973889143381,0.8716823193140057,0.9217400690846287,0.8013654912755253,0.9743991163237842,0.9863334466118677,0.07515822601363538,0.036478940267375755,0.2752809611587163,0.2823066739345838,1.1130012105672213,0.9324380856760375,0.9332651715180842,0.8783885542168676,0.834781892889259,0.9349951907662712,0.8282448168134053,0.0033363559258466546,0.04223033345719008,0.13565674826562787,0.9099446020807999,0.9113520084595912,0.930220384232843,0.8056097678656422,0.9070028583095141,0.9546577844633072,0.03509238724652303,0.08050109945448855,0.2922080953448126
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True,20,18,797.2204469162971,4854.962246030077,4583233,4583233,0.050115782767534256,0.9394661981258366,0.9198981641718023,0.8879352226720648,0.8789676178262263,0.8834286634979458,0.8425684032392782,0.9844126240325499,0.9601024818364595,0.04342247444726648,0.00617100518759876,0.14022292088195315,0.9428338353413654,0.9232913472594881,0.8968635437881873,0.8824142353318372,0.8895802189810512,0.8510684521261366,0.9860346390145498,0.9640235156684362,0.04106204705170164,0.00344820105768991,0.13227349490776286,0.9423430962343097,0.9209567676796724,0.9001811892604183,0.8762225428892095,0.8880402989925252,0.8493642730774401,0.9853433464654662,0.9624523378647359,0.041891609210553814,0.005194049349394,0.13553883030569194,,,,,,,,,,,,,,,,,,,,,,,0.228156492114067,1.073351900634741,0.9239876171352075,0.932059006479353,0.8669449326303457,0.8202831572118588,0.948941968579673,0.7979913723375573,0.0031059555891476635,0.04331936991249371,0.13955105303009196,,,,,,,,,
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True,20,17,1366.4975442774594,3074.940747930323,4583233,4583233,0.05865290015935898,0.9398636211512718,0.9223447817500079,0.8840707256580527,0.8857005450464892,0.8848848848848848,0.8441868430933729,0.9850854476097334,0.9617440493424657,0.04267943122292099,0.00511858387730845,0.13697941712114292,0.9437960174029452,0.9272867008925223,0.8919676463522063,0.8927540878486695,0.8923606938268637,0.8543299157850309,0.9865738799498094,0.9653968553955383,0.040262561920524874,0.0023301707674851907,0.12974825340734145,0.9418410041841004,0.9223284210356999,0.8941291266872662,0.8815135481802149,0.8877765218795415,0.8485681995149466,0.9854410052941824,0.9631807044539198,0.041549045662931515,0.003436032245145625,0.1348863937731719,,,,,,,,,,,,,,,,,,,,,,,0.2568320035934448,1.0677524269132117,0.9259956492637216,0.9329768153155882,0.8698403355161504,0.8240281220191494,0.9475793523565246,0.803889568883449,0.001973971808493178,0.04261205699334718,0.13664925252153298,,,,,,,,,
cnn_deep_hard_d4_s128_full_bce_nfull_seed3,cnn_deep,gz2,hard,d4,128,full,bce,0,3,False,True,20,19,804.0303499838337,5582.204652236076,4583233,4583233,0.052547477185726166,0.9403656291834003,0.9202992739380113,0.8915466601578391,0.8783263866623918,0.8848871482214237,0.8446925861006067,0.9850102891540208,0.9616593565925075,0.042624244805208975,0.006789029221073954,0.13746615179072835,0.9437751004016064,0.9238763128024782,0.9002944544413545,0.8822539275408785,0.8911829001700267,0.8533625189805415,0.9866216462904145,0.9655253568707126,0.04017368277249092,0.0035287539013157477,0.12954479631174795,0.9426359832635983,0.9216735118620416,0.8999013806706114,0.8778258778258778,0.8887265644022401,0.8502109977010337,0.9855732579599796,0.9635765309902832,0.04116743287402656,0.0054255668152764,0.1346768842436947,,,,,,,,,,,,,,,,,,,,,,,0.2120688259601593,1.1046746150655509,0.9251171352074966,0.9336787267804609,0.8689796515883472,0.8231752948292468,0.9515870471304906,0.7995689655172413,0.001715248227926612,0.042494449792344194,0.1366691143591073,,,,,,,,,
cnn_deep_hard_d4_s128_full_bce_nfull_seed4,cnn_deep,gz2,hard,d4,128,full,bce,0,4,False,True,20,19,1355.0419906564057,3400.9885216686944,4583233,4583233,0.05997834727168083,0.9404911311914324,0.9199434498069645,0.8930699534731859,0.8769637704392433,0.8849435839365875,0.844878532748177,0.9846190920009188,0.9607020208946919,0.04314219162074254,0.0068913231876732576,0.1391407704633442,0.9422063253012049,0.9213112747175358,0.8985638079606073,0.8776050016030779,0.8879607477393455,0.8491352280707978,0.9861600252332775,0.9643753511180025,0.0408601068195763,0.004054711304532744,0.13175115998897508,0.940418410041841,0.9174765332647157,0.8988894414056026,0.8694885361552028,0.8839445802770988,0.8440918153811183,0.9850766988757893,0.962074522598223,0.04225544388267416,0.005415370948810736,0.13686201166723003,,,,,,,,,,,,,,,,,,,,,,,0.2697101235389709,1.0988085243420656,0.9290286144578314,0.9313214372841185,0.8731636200515869,0.8278060009869329,0.9361173453029817,0.8181436077057793,0.004008107966407725,0.04302517033745119,0.13841890614889704,,,,,,,,,
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,0,False,True,20,18,885.968659427017,5439.487894520836,4583233,4583233,0.04827238619327545,0.9392779451137885,0.921326329094599,0.8835643881721291,0.8837768515549855,0.8836706070927669,0.8425871359351291,0.9840369134233029,0.9589131516344951,0.043896136195105455,0.002413640233898666,0.14161623740836476,0.9409513052208835,0.9227436274613181,0.888575799049996,0.884658544405258,0.8866128449210747,0.846698334178738,0.9850726697648253,0.9613902176185062,0.042460702722887364,0.003300584548048781,0.13713489678831514,0.9402510460251046,0.9210971491256079,0.8890147225368064,0.8810325476992144,0.8850056369785795,0.8446629162358936,0.9847307650436601,0.9609325041804511,0.04277297708030121,0.0035102133121732862,0.13830728060231712,0.895960005404675,0.9107496076166338,0.9749194661757938,0.8650469579420171,0.9167027260926005,0.7893988689673572,0.9700427066124163,0.9832397341516123,0.07647716204319795,0.00624257361536985,0.2540136088144236,0.8987974598027294,0.9132840509722346,0.9759119064005506,0.8685177623519804,0.9190882575348385,0.794777231793014,0.9732099655178995,0.9848619884476746,0.07375930770878497,0.0052513216536367235,0.24435968671040517,0.2598256170749664,0.9571442887815479,0.9211638219544847,0.9307189173755896,0.8629005856462115,0.8150654674361675,0.9507053542802181,0.78994338994339,0.0030090212894145142,0.04389438445475823,0.1416254157603434,0.9196730171598433,0.9115714674444566,0.9391473463329751,0.8210438924574063,0.9366067782768477,0.9417017345786719,0.009118442572730166,0.0765254306122619,0.25462814372487874
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed1,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,1,False,True,20,19,1357.488378347829,3313.608962869022,4583233,4583233,0.04530240595340729,0.9388805220883534,0.9175834380001224,0.890596892886345,0.8730362295607567,0.8817291346231684,0.8406032431441391,0.9839863453714751,0.9589463320480232,0.043785951408609344,0.0020159912408558873,0.14141459209246435,0.9408676372155288,0.9196018905829364,0.8958726511856897,0.875120230843219,0.885374853018692,0.8456443793492413,0.9850800404205033,0.9614867053171409,0.04233819748326458,0.002928069256490549,0.13677046495924863,0.9410041841004184,0.9186507267052286,0.898991568854356,0.8718935385602052,0.8852352270877422,0.8457244461695708,0.9850254707677946,0.9618731662863813,0.04218700420351534,0.00227407921519216,0.1367453567577623,,,,,,,,,,,,,,,,,,,,,,,0.2628418207168579,0.9678363200461259,0.9246360441767069,0.9305273665344628,0.8671900917837001,0.8201905502931517,0.9428502725232446,0.8027707636661434,0.003027384482851713,0.04378905808521746,0.14146743707640222,,,,,,,,,
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed2,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,2,False,True,20,19,794.7953801853582,5473.8523239343185,4583233,4583233,0.042502693831920624,0.9399682061579652,0.9181119110630598,0.8949185989146522,0.8723949983969221,0.8835132721811836,0.843211320410993,0.9845398047076154,0.9601141910629036,0.04308955956875483,0.0018282559551486032,0.13908284298769388,0.9423736613119144,0.9212689337148972,0.899547883271681,0.877124078230202,0.8881944726269226,0.8495091111343113,0.9856337300187399,0.9628205566329296,0.0415481244742511,0.0038438699458187083,0.13431025015969367,0.9412970711297071,0.9187451630694567,0.9002981119576019,0.8715728715728716,0.8857026476578412,0.8464246621150298,0.985005754731547,0.9616894158276225,0.04220948533670453,0.0034221858945209962,0.13691754280794013,,,,,,,,,,,,,,,,,,,,,,,0.2407745867967605,0.9803799015681541,0.9252426372155288,0.9332192007681126,0.8689690570464877,0.823036362914349,0.9499038153254248,0.8007432432432432,0.002095324636176435,0.043091071698998194,0.13909959418400467,,,,,,,,,
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed3,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,3,False,True,20,19,1367.672643557191,3299.1046436287374,4583233,4583233,0.041162095963954926,0.9409931392235609,0.9204127126165336,0.8945002860178148,0.87736453991664,0.8858495528669121,0.8461397780003853,0.985169076988284,0.9620814573615528,0.04205355246348247,0.0014262632391213307,0.136109372393769,0.9422899933065596,0.9214975079788199,0.898531703715856,0.8780057710804745,0.8881501601329711,0.8493730305983955,0.985951387356581,0.9638863018030999,0.04105092919620287,0.002514420982055463,0.13263743159058872,0.9427196652719665,0.9210041015981871,0.9020482325735051,0.8755812089145423,0.8886176877389961,0.8502463504295719,0.9858161954729167,0.9638405745408688,0.0409761901770015,0.0030362962772019445,0.13309902700786452,,,,,,,,,,,,,,,,,,,,,,,0.27247717046789954,0.9675373241409339,0.9295515394912985,0.9349159080101519,0.8751482799525504,0.8309957520223091,0.9461365822378968,0.8140689655172414,0.0014043296682134231,0.04205089259270397,0.13607942660766262,,,,,,,,,
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed4,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,4,False,True,20,19,797.1393977608532,5557.100105298672,4583233,4583233,0.04062278941273689,0.9395080321285141,0.9178265040302718,0.8932381421303135,0.8724751522924014,0.882734571405401,0.8420890851081052,0.9844324640046124,0.9599929551596059,0.043202767363225335,0.002466826157593375,0.13951557318239488,0.9408885542168675,0.9190197562428659,0.8974464579901154,0.8732766912471946,0.885196620084498,0.8455466380784701,0.98528824272752,0.9621339743561592,0.04204337958196461,0.003392211173639826,0.13582904252181183,0.9418410041841004,0.919683612808601,0.9007772449148338,0.8733365400032067,0.8868446760013025,0.8479036937684709,0.9852091149341522,0.9622885697913977,0.04188914627124162,0.00424851584199231,0.1360854714946286,,,,,,,,,,,,,,,,,,,,,,,0.2628418207168579,0.9526717464810502,0.9270833333333334,0.9338163940224304,0.8715454344461641,0.8263148906840969,0.9478999679384418,0.8065748192606739,0.0023643512798030603,0.04319944448632696,0.1395211524796704,,,,,,,,,
